               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10426,            0.021315,            0.036085,          0.00010097,            0.046958,          5.6198e-05,          1.4334e-05,            0.092331,             0.01692,            0.034444,             0.00119,             0.00119,             0.08929
                   1,            0.096154,            0.018563,            0.033173,             0.33744,            0.025926,           0.0014163,          0.00026646,            0.089247,            0.015794,            0.030921,           0.0023898,           0.0023898,             0.07849
                   2,            0.089129,            0.018864,            0.025623,             0.79948,             0.18519,             0.10909,            0.022356,            0.081038,            0.015497,            0.021785,           0.0035886,           0.0035886,            0.067689
                   3,             0.08408,            0.017442,            0.019218,             0.79162,             0.13519,             0.09881,            0.022669,            0.076623,            0.014022,            0.017038,           0.0047857,           0.0047857,            0.056886
                   4,            0.079379,            0.016926,            0.014445,             0.53264,             0.31111,             0.17917,            0.041162,            0.069401,            0.013722,            0.012055,           0.0059805,           0.0059805,            0.046081
                   5,            0.072102,            0.015922,           0.0088144,             0.53703,             0.37063,             0.25368,             0.06269,            0.067543,            0.014826,           0.0072639,           0.0071723,           0.0071723,            0.035272
                   6,            0.067281,            0.013957,           0.0054948,             0.37204,             0.39411,             0.28944,            0.075918,            0.060318,            0.011268,            0.005868,           0.0083602,           0.0083602,             0.02446
                   7,            0.064885,            0.013594,            0.005056,             0.44498,             0.54048,             0.38755,            0.093289,            0.060286,            0.011492,           0.0055512,           0.0095437,           0.0095437,            0.013644
                   8,            0.061395,            0.012363,           0.0037594,             0.60717,             0.56731,             0.57813,             0.19268,            0.053892,            0.010264,           0.0053111,            0.009937,            0.009937,            0.009937
                   9,            0.058174,            0.011616,           0.0035791,             0.68347,             0.56647,             0.59123,             0.16525,            0.053068,            0.009646,           0.0045253,            0.009937,            0.009937,            0.009937
                  10,            0.055631,            0.010912,           0.0033617,             0.70074,             0.68386,             0.62678,             0.21529,            0.050327,           0.0090927,           0.0045932,           0.0099203,           0.0099203,           0.0099203
                  11,            0.054144,            0.010507,           0.0025291,             0.76617,             0.65608,             0.70769,             0.24506,            0.051812,           0.0083392,           0.0041155,           0.0099017,           0.0099017,           0.0099017
                  12,            0.052465,            0.010157,           0.0032391,             0.76023,             0.69672,             0.73626,             0.28277,              0.0498,           0.0078341,           0.0036829,           0.0098811,           0.0098811,           0.0098811
                  13,            0.050731,           0.0096702,           0.0027968,             0.77795,              0.6801,             0.69789,             0.25967,            0.050032,           0.0078916,            0.004297,           0.0098586,           0.0098586,           0.0098586
                  14,             0.04924,           0.0096424,           0.0021985,             0.83433,             0.76841,             0.78729,             0.34094,            0.046317,           0.0070295,           0.0034003,           0.0098342,           0.0098342,           0.0098342
                  15,            0.048982,           0.0094388,           0.0022582,             0.76953,             0.72111,             0.74628,             0.29405,            0.048388,           0.0073131,           0.0037897,           0.0098079,           0.0098079,           0.0098079
                  16,            0.048177,           0.0092135,           0.0025337,             0.82509,             0.77827,             0.79592,              0.3369,              0.0449,           0.0067196,            0.003323,           0.0097798,           0.0097798,           0.0097798
                  17,            0.047669,           0.0088886,           0.0020874,             0.83051,             0.77906,             0.80843,             0.35404,            0.044302,           0.0067501,            0.003047,           0.0097497,           0.0097497,           0.0097497
                  18,            0.047577,           0.0089612,           0.0023714,             0.85354,             0.73897,             0.80361,             0.35042,            0.044137,           0.0068196,           0.0032248,           0.0097178,           0.0097178,           0.0097178
                  19,            0.046954,           0.0088072,           0.0024152,               0.853,             0.78357,             0.82393,             0.37269,            0.042844,           0.0063761,           0.0030405,            0.009684,            0.009684,            0.009684
                  20,            0.045214,           0.0086633,           0.0021905,             0.83787,             0.81195,             0.82598,             0.35533,            0.043716,           0.0064996,           0.0034817,           0.0096484,           0.0096484,           0.0096484
                  21,            0.045453,           0.0086121,           0.0017975,             0.86919,             0.77964,             0.82092,             0.36444,            0.042857,            0.006488,           0.0030084,            0.009611,            0.009611,            0.009611
                  22,            0.044906,           0.0082801,           0.0019768,             0.85364,             0.79456,             0.83914,               0.362,            0.042372,           0.0063917,           0.0030785,           0.0095717,           0.0095717,           0.0095717
                  23,             0.04466,           0.0084805,           0.0020396,             0.86241,             0.76945,             0.82694,             0.36692,             0.04328,           0.0063178,           0.0034533,           0.0095307,           0.0095307,           0.0095307
                  24,            0.044337,           0.0082328,           0.0016335,             0.85972,             0.80734,             0.82654,             0.37521,            0.041832,           0.0062808,           0.0029814,           0.0094879,           0.0094879,           0.0094879
                  25,            0.044347,           0.0084716,           0.0017369,             0.86309,             0.80883,              0.8327,               0.383,            0.041916,            0.006072,           0.0031702,           0.0094434,           0.0094434,           0.0094434
                  26,            0.043286,           0.0082467,           0.0016536,             0.87622,             0.80231,             0.84166,              0.3755,            0.043018,           0.0062432,           0.0030526,           0.0093971,           0.0093971,           0.0093971
                  27,            0.043098,           0.0081464,           0.0017431,             0.82402,             0.75722,             0.77501,              0.3393,            0.045415,           0.0068912,             0.00373,           0.0093491,           0.0093491,           0.0093491
                  28,            0.043097,           0.0082728,           0.0014672,             0.80034,             0.73863,             0.76151,             0.35165,            0.045195,           0.0072984,           0.0035707,           0.0092995,           0.0092995,           0.0092995
                  29,            0.042563,           0.0081994,           0.0019738,             0.87644,             0.79424,             0.84752,             0.39576,            0.041534,           0.0062333,           0.0029233,           0.0092481,           0.0092481,           0.0092481
                  30,            0.042686,           0.0082657,            0.001677,             0.86309,              0.8061,             0.83838,             0.36715,            0.043014,           0.0060994,           0.0028582,           0.0091952,           0.0091952,           0.0091952
                  31,            0.042843,           0.0080618,           0.0016314,             0.82128,              0.7997,             0.82514,             0.37594,            0.043034,           0.0060836,             0.00382,           0.0091406,           0.0091406,           0.0091406
                  32,            0.041887,           0.0080257,            0.001426,             0.84149,              0.8082,              0.8338,             0.39971,             0.04147,           0.0060871,           0.0030494,           0.0090844,           0.0090844,           0.0090844
                  33,            0.042063,           0.0078412,           0.0019871,             0.86077,             0.80582,             0.84233,             0.38272,            0.042251,           0.0059067,           0.0027822,           0.0090266,           0.0090266,           0.0090266
                  34,            0.040839,           0.0079661,           0.0012971,             0.83912,              0.7911,             0.82859,             0.38763,             0.04208,           0.0062024,           0.0031293,           0.0089673,           0.0089673,           0.0089673
                  35,            0.041115,           0.0078273,           0.0013774,             0.82091,             0.84193,             0.83776,             0.38438,             0.04165,           0.0058388,            0.002757,           0.0089065,           0.0089065,           0.0089065
                  36,            0.040938,           0.0080438,           0.0011733,             0.83961,             0.73625,             0.76408,             0.35062,            0.044132,           0.0067787,           0.0032822,           0.0088442,           0.0088442,           0.0088442
                  37,            0.041392,           0.0080303,           0.0015594,             0.86291,             0.74998,             0.80212,             0.34969,            0.043892,           0.0061616,            0.003828,           0.0087804,           0.0087804,           0.0087804
                  38,            0.040543,           0.0079018,              0.0015,             0.85393,             0.82085,             0.84736,             0.39922,             0.04132,            0.005978,           0.0028631,           0.0087151,           0.0087151,           0.0087151
                  39,            0.040533,           0.0081521,            0.001359,             0.87077,             0.83251,             0.84985,             0.40995,             0.03996,           0.0057786,           0.0029498,           0.0086485,           0.0086485,           0.0086485
                  40,            0.040834,           0.0079528,           0.0014673,             0.87325,             0.79746,             0.84413,             0.38977,            0.041329,           0.0057335,           0.0029005,           0.0085805,           0.0085805,           0.0085805
                  41,            0.039635,           0.0079127,           0.0019512,              0.8784,             0.81605,             0.86446,             0.40706,            0.040628,            0.005669,           0.0029062,           0.0085111,           0.0085111,           0.0085111
                  42,            0.039191,             0.00763,           0.0010602,             0.84512,             0.82953,              0.8451,             0.40094,             0.04093,           0.0059395,           0.0028529,           0.0084404,           0.0084404,           0.0084404
                  43,            0.039313,           0.0077223,           0.0013477,             0.88658,             0.81094,             0.85498,             0.41479,            0.039787,           0.0058522,           0.0028928,           0.0083684,           0.0083684,           0.0083684
                  44,            0.039504,           0.0077587,           0.0011865,             0.86867,             0.82362,             0.85485,             0.40517,            0.040359,           0.0058787,           0.0026951,           0.0082952,           0.0082952,           0.0082952
                  45,            0.039592,           0.0078313,           0.0012806,              0.8443,             0.85085,             0.85897,             0.41623,             0.03985,           0.0056756,           0.0028642,           0.0082207,           0.0082207,           0.0082207
                  46,            0.039418,           0.0076576,           0.0012904,             0.84126,             0.84087,             0.85068,             0.38838,            0.041068,           0.0058268,           0.0029011,            0.008145,            0.008145,            0.008145
                  47,            0.039192,            0.007739,           0.0011207,             0.86072,             0.84093,              0.8604,              0.4126,             0.03965,           0.0056128,           0.0028236,           0.0080682,           0.0080682,           0.0080682
                  48,            0.038661,           0.0077882,           0.0015157,             0.84873,             0.82518,             0.83714,             0.39685,             0.04125,           0.0059723,           0.0027964,           0.0079903,           0.0079903,           0.0079903
                  49,            0.038915,            0.007474,           0.0015534,             0.89599,              0.8428,             0.88721,             0.43022,            0.039436,           0.0054599,            0.002811,           0.0079112,           0.0079112,           0.0079112
                  50,            0.038596,           0.0077763,            0.001104,             0.83694,             0.84291,              0.8466,             0.40974,            0.041154,           0.0058323,           0.0028108,           0.0078311,           0.0078311,           0.0078311
                  51,            0.038694,           0.0076209,           0.0013076,              0.8863,             0.80144,             0.85693,             0.40743,             0.04093,           0.0057953,           0.0031873,             0.00775,             0.00775,             0.00775
                  52,            0.037649,           0.0077082,           0.0011264,             0.86911,             0.86717,             0.86994,             0.41775,            0.038917,           0.0056862,           0.0028144,           0.0076679,           0.0076679,           0.0076679
                  53,            0.037538,           0.0071879,           0.0011052,             0.86303,             0.83426,             0.85281,              0.4139,            0.039771,           0.0058022,           0.0029329,           0.0075848,           0.0075848,           0.0075848
                  54,            0.038569,           0.0072838,           0.0012557,             0.84984,              0.8444,             0.85224,             0.40423,            0.039902,           0.0059157,           0.0028022,           0.0075009,           0.0075009,           0.0075009
                  55,            0.037193,           0.0074956,           0.0010625,              0.8592,             0.82333,             0.84878,              0.4071,            0.040169,           0.0057675,           0.0028991,            0.007416,            0.007416,            0.007416
                  56,            0.037523,           0.0074307,           0.0012602,             0.86303,             0.82958,              0.8471,             0.41647,            0.040569,           0.0057832,           0.0028465,           0.0073303,           0.0073303,           0.0073303
                  57,            0.037844,           0.0074262,           0.0011346,             0.86279,             0.85595,             0.87325,             0.42187,            0.039507,           0.0056743,           0.0029781,           0.0072438,           0.0072438,           0.0072438
                  58,            0.037275,           0.0075141,           0.0010996,             0.87239,             0.83717,             0.84322,             0.40364,            0.039916,           0.0056877,           0.0029241,           0.0071566,           0.0071566,           0.0071566
                  59,            0.037212,           0.0073699,          0.00097672,             0.84622,             0.85625,             0.85485,              0.4148,            0.039864,           0.0056298,           0.0028888,           0.0070686,           0.0070686,           0.0070686
                  60,            0.036772,           0.0074437,          0.00097169,             0.86405,             0.83422,             0.86006,               0.426,            0.039904,           0.0055988,           0.0028209,           0.0069799,           0.0069799,           0.0069799
                  61,            0.036165,           0.0071029,          0.00079745,             0.88512,             0.83875,             0.87663,             0.41718,            0.039509,              0.0056,            0.002883,           0.0068906,           0.0068906,           0.0068906
                  62,            0.036005,           0.0073451,          0.00085362,             0.87725,             0.83122,             0.85292,             0.41188,            0.039637,           0.0056413,           0.0027777,           0.0068006,           0.0068006,           0.0068006
                  63,            0.036099,           0.0073755,          0.00093065,             0.86646,             0.84804,             0.86138,             0.41605,             0.03936,           0.0056678,           0.0028005,           0.0067101,           0.0067101,           0.0067101
                  64,            0.036275,           0.0074106,          0.00078606,             0.88827,             0.83803,              0.8607,             0.41717,            0.039724,           0.0055932,           0.0029086,           0.0066191,           0.0066191,           0.0066191
                  65,            0.035627,           0.0071721,          0.00099016,             0.86141,             0.85591,             0.86725,              0.4258,            0.039603,           0.0054934,           0.0028556,           0.0065276,           0.0065276,           0.0065276
                  66,            0.035488,           0.0072323,          0.00080404,             0.86667,             0.85015,             0.85883,             0.40876,            0.039983,           0.0057862,           0.0028876,           0.0064356,           0.0064356,           0.0064356
                  67,             0.03557,           0.0073697,          0.00085512,             0.86783,             0.83613,             0.85025,             0.41016,            0.039764,            0.005748,           0.0028608,           0.0063432,           0.0063432,           0.0063432
                  68,             0.03504,           0.0071323,          0.00073085,             0.87303,             0.82785,             0.86034,             0.41941,            0.039516,           0.0057138,           0.0028665,           0.0062505,           0.0062505,           0.0062505
